dbm,checksum,linkQualityIndicator,duration,syncMode,baud,mancEncoding,payload
-74.5,True,63,0.124176,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065256,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065511,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065735,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065306,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065394,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.0652,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065495,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-66.0,False,13,0.065759,0,4800,False,e0000000000000000000000080004008102040813e040210000103880000
-74.5,True,63,0.06554,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065415,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065377,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.065172,0,4800,False,fe0000000000000000000000000000df8306fc10204c8102fc1805400000
-74.5,True,63,0.064953,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065705,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065144,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065074,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065455,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.065488,0,4800,False,fffffffffffffffffffffffffffffffffffffffff0000000000000000000
-85.0,True,6,0.065709,0,4800,False,e00000000000000000000000000000000000420006fc1c2fe5d1168d583f
-82.0,False,32,0.065991,0,4800,False,f800000000000000000680000000000001000002037e8c1be0408106041b
-74.5,True,63,0.065544,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065045,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065274,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065575,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-76.0,False,0,0.065104,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,47,0.065333,0,4800,False,fe0000000000000000000264080020408106061bf02001e0000000982000
-74.0,False,47,0.065548,0,4800,False,ff00000000000000000002380813e0418116040bf0651000000912000000
-60.5,True,48,0.067887,0,4800,False,e00000000000000000106f81027c083020c18b7e0e000000000800001001
-66.0,False,47,0.065201,0,4800,False,fe00000000000000000000780837e0c08102040bf0218800000051800000
-74.0,False,25,0.065695,0,4800,False,e080000000400088800001bf0205f81020408302fc180000000200008000
-74.0,False,3,0.065477,0,4800,False,ff810000000002419a0000037e8c1bf060c1830409f02000050100000040
-74.0,False,0,0.065269,0,4800,False,ff800000000000000000000000801027c08103040817e0c00000000c0000
-72.0,True,0,0.066014,0,4800,False,f00000000000000000000000019e040df02040810244f810014058000040
-74.0,False,0,0.065494,0,4800,False,f0000000000000000000000000015c0c1bf060c183040ff0202000000080
-42.0,False,0,0.065768,0,4800,False,ff000000000000000000000000002640813e0418106041bf463600000001
-74.5,True,63,0.065206,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065144,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065543,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065455,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.065944,0,4800,False,ffffffffffffffffffffffffffffc0000000000000000000000000000000
-74.0,False,12,0.065888,0,4800,False,ff8000000000000000000000000013e040bf020408140000000300000000
-74.5,True,63,0.065339,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065357,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065439,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065612,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,2,0.065802,0,4800,False,e9818ba5f83000006e060000004c4037e0813e0c081020d1bf0600000000
-74.0,False,16,0.06585,0,4800,False,f8000000000000000000000000000004f81027c08142042837e0c0001c00
-74.0,False,0,0.065361,0,4800,False,fc001020013e040000000000040b000004f81027c08102040817e0400000
-121.0,False,0,0.065277,0,4800,False,e00000000000000000000000000000000005f8306fc1830408102fc08000
-71.0,False,0,0.066447,0,4800,False,ff0000000000000002000000000000000000027c0813e2c9c186041ff060
-61.5,False,8,0.065599,0,4800,False,ff0000000000000000000000000000000000001bf060df83060dfc69ffd9
-74.0,False,0,0.065761,0,4800,False,ff80000000000000000000000000000000000000000200000003a8000008
-74.5,True,63,0.065799,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.06546,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-72.5,False,14,0.065846,0,4800,False,fe00000000000000000000000000001f0204fc10244081027c0880540000
-138.0,False,0,0.065597,0,4800,False,e00000027c000000000000000000001bf0205f83461c10205f8300000011
-74.5,True,63,0.065271,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.064944,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065215,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-90.0,False,0,0.065876,0,4800,False,f00000000000000000000000000000000000000002fc1837e0c583064d1b
-46.5,True,32,0.065148,0,4800,False,ffe0000000000000000000000000000000000000000df8306fc183060c18
-30.0,False,63,0.065688,0,4800,False,ffffe0000000000000000000040000000000000000000df8306fc183060c
